port_complex_id,port_area_status,spatial_assignment_status,conflicting_port_complex_ids
baltimore_md,available,assignable,
boston_ma,available,assignable,
charleston_sc,available,assignable,
houston_tx,available,assignable,
jacksonville_fl,available,assignable,
miami_fl,available,assignable,
mobile_al,available,assignable,
new_orleans_la,available,assignable,
new_york_new_jersey,available,assignable,
norfolk_newport_news_va,available,assignable,
philadelphia_pa,available,assignable,
port_everglades_fl,available,assignable,
san_pedro_bay,available,assignable,
savannah_ga,available,assignable,
wilmington_nc,available,assignable,
